time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,-5.47323733438,-2.69341405163,0,-1.12051823944e-06,0.00158523448875,-0.000510160592974,0.999998613382,-0.260471578823,-3.08250264795e-05,0.0,0,0,-0.0259518251941
0,-5.48184029636,-2.69340290882,0,-5.50531997711e-07,0.00158738978929,-0.000938547342715,0.99999829966,-0.260908847001,-4.60568875795e-05,0.0,0,0,-0.0259181238974
0,-5.49071822357,-2.69338519823,0,-8.56141353899e-07,0.00159158805246,-0.0012248067931,0.999997983345,-0.261240090878,-4.65794573527e-05,0.0,0,0,-0.0169393012836
0,-5.49933734833,-2.69336322117,0,-9.10159316665e-07,0.00159660712648,-0.00151019803215,0.99999758507,-0.261087600726,-4.27110359496e-05,0.0,0,0,-0.0175971998612
0,-5.50794508104,-2.6933356881,0,-9.94282885287e-07,0.00160113338573,-0.0018041673926,0.999997090671,-0.260576796781,-5.44213178619e-06,0.0,0,0,-0.0179568087665
0,-5.51680342604,-2.69330460137,0,-1.22270716583e-06,0.00160186259957,-0.00219409923891,0.999996309975,-0.260207651314,-0.000275688398567,0.0,0,0,-0.0222840648781
0,-5.52534425064,-2.69325951042,0,4.36773602408e-06,0.00160216451266,-0.00254520319716,0.999995477485,-0.258199848825,-1.39734119638e-05,0.0,0,0,-0.0208910170717
0,-5.53388046838,-2.69321235137,0,3.89173665041e-06,0.00159644029834,-0.00294627878121,0.999994385387,-0.258512331168,3.36892053495e-05,0.0,0,0,-0.0242955334405
0,-5.54267300885,-2.69315755146,0,3.721944088e-06,0.00159193188365,-0.00318822128256,0.999993650472,-0.25870305152,2.35395509362e-05,0.0,0,0,-0.013491452126
0,-5.55121751129,-2.69310074682,0,3.84593617241e-06,0.00158761109218,-0.00341057548203,0.999992923701,-0.259125741256,1.26848542136e-05,0.0,0,0,-0.0134529247647
0,-5.55977640987,-2.69304035216,0,4.07711768447e-06,0.00158532111091,-0.00363220867603,0.999992146869,-0.259580500913,3.13728938048e-06,0.0,0,0,-0.0134124915781
0,-5.56860972094,-2.69297331529,0,4.53416261957e-06,0.00158455467439,-0.00398252693053,0.99999081428,-0.260046468099,-7.60258724891e-06,0.0,0,0,-0.0207718377682
